latitude,longitude,addr:city,name,addr:street:en,fee,email,opening_hours,phone,website,type
41.3424673,21.5597305,Прилеп,Меморијален музеј Народен херој Кузман Јосифоски-Питу,Мара Јосифоска-Ѓурѓа,no,,Tu-Sa 10:00-15:00; Su 09:00-13:27,,,history
41.3429261,21.5591038,Прилеп,Музеј Александар Македонски,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:28,,https://www.muzejprilep.org.mk,history
41.0268197,21.3320703,Битола,Goce Delchev Memorial House,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:29,,,history
41.0410392,21.3585444,Битола,Меморијален центар Битола,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:30,,,history
41.0884486,21.0137165,Ресен,Спомен-куќа на Татарчеви,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:31,,,history
42.005709,21.4174425,Скопје,Природонаучен Музеј,,yes,,Tu-Sa 10:00-15:00; Su 09:00-13:32,,,history
41.7077548,22.8566138,Берово,Музеј на град Берово,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:33,,http://www.berovo.gov.mk/index.php?option=com_content&view=article&id=76&Itemid=117,history
41.4343634,22.0163228,Кавадарци,Музеј Галерија Кавадарци,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:34,,,history
41.112361,20.7961416,Охрид,Куќа на Робевци,Цар Самоил,no,,Tu-Sa 10:00-15:00; Su 09:00-13:35,,http://muzejohrid.mk/en/house-of-robev-family,history
41.8841902,22.5049622,Кочани,Музеј на глина,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:36,,,history
41.1871817,22.7221034,Дојран,Музеј на Дојран,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:37,,,history
41.1805738,20.6776078,Струга,Д-р Никола Незлобински,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:38,,,history
41.4184594,22.0181317,Кавадарци,Спомен куќа на Страшо Пинџур,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:39,,,history
42.2020133,22.3348959,Крива Паланка,Градски музеј,Sveti Joakim Osogovski,no,,Tu-Sa 10:00-15:00; Su 09:00-13:40,,,history
41.9664768,22.7729986,Делчево,Музеј на град Делчево,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:41,,,history
41.0240503,21.0506131,Ресен,Eтнолошки музеј,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:42,,,history
41.5939237,20.652723,Галичник,Museum of Galichnik's cultural heritage,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:43,,,history
41.9962134,21.4291373,Скопје,Максим Горки,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:44,,,history
41.9989569,21.3865879,Скопје,Галерија Војвода Васил Чакаларов,,no,galerija.ra@gmail.com,Tu-Sa 10:00-15:00; Su 09:00-13:45,,,history
41.4354106,22.6364291,Струмица,Музеј Струмица,,yes,,Tu-Sa 10:00-15:00; Su 09:00-13:46,,,history
41.1488082,22.5220207,Гевгелија,Вардарски рид,,yes,,Tu-Sa 10:00-15:00; Su 09:00-13:47,,,history
41.1123275,20.7970433,Охрид,House of Lambeski,,yes,,Tu-Sa 10:00-15:00; Su 09:00-13:48,,,history
