name,city,xCoordinate,yCoordinate,hasEntranceFee,website,openingHours,phoneNumber,type
Спомен-дом Блаже Конески,Прилеп,41.4493541,21.5583418,false,,Tu-Sa 10:00-15:00; Su 09:00-13:25,,history
Музеј на Битола,Битола,41.0234533,21.3359067,false,,Tu-Sa 10:00-15:00; Su 09:00-13:26,,history
Меморијален музеј Народен херој Кузман Јосифоски-Питу,Прилеп,41.3424673,21.5597305,false,,Tu-Sa 10:00-15:00; Su 09:00-13:27,,history
Музеј Александар Македонски,Прилеп,41.3429261,21.5591038,false,,Tu-Sa 10:00-15:00; Su 09:00-13:28,,history
Goce Delchev Memorial House,Битола,41.0268197,21.3320703,false,,Tu-Sa 10:00-15:00; Su 09:00-13:29,,history
Меморијален центар Битола,Битола,41.0410392,21.3585444,false,,Tu-Sa 10:00-15:00; Su 09:00-13:30,,history
Спомен-куќа на Татарчеви,Ресен,41.0884486,21.0137165,false,,Tu-Sa 10:00-15:00; Su 09:00-13:31,,history
Природонаучен Музеј,Скопје,42.005709,21.4174425,true,,Tu-Sa 10:00-15:00; Su 09:00-13:32,,history
Музеј на град Берово,Берово,41.7077548,22.8566138,false,,Tu-Sa 10:00-15:00; Su 09:00-13:33,,history
Музеј Галерија Кавадарци,Кавадарци,41.4343634,22.0163228,false,,Tu-Sa 10:00-15:00; Su 09:00-13:34,,history
Куќа на Робевци,Охрид,41.112361,20.7961416,false,,Tu-Sa 10:00-15:00; Su 09:00-13:35,,history
Музеј на глина,Кочани,41.8841902,22.5049622,false,,Tu-Sa 10:00-15:00; Su 09:00-13:36,,history
Музеј на Дојран,Дојран,41.1871817,22.7221034,false,,Tu-Sa 10:00-15:00; Su 09:00-13:37,,history
Д-р Никола Незлобински,Струга,41.1805738,20.6776078,false,,Tu-Sa 10:00-15:00; Su 09:00-13:38,,history
Спомен куќа на Страшо Пинџур,Кавадарци,41.4184594,22.0181317,false,,Tu-Sa 10:00-15:00; Su 09:00-13:39,,history
Градски музеј,Крива Паланка,42.2020133,22.3348959,false,,Tu-Sa 10:00-15:00; Su 09:00-13:40,,history
Музеј на град Делчево,Делчево,41.9664768,22.7729986,false,,Tu-Sa 10:00-15:00; Su 09:00-13:41,,history
Eтнолошки музеј,Ресен,41.0240503,21.0506131,false,,Tu-Sa 10:00-15:00; Su 09:00-13:42,,history
Museum of Galichnik's cultural heritage,Галичник,41.5939237,20.652723,false,,Tu-Sa 10:00-15:00; Su 09:00-13:43,,history
Максим Горки,Скопје,41.9962134,21.4291373,false,,Tu-Sa 10:00-15:00; Su 09:00-13:44,,history
Галерија Војвода Васил Чакаларов,Скопје,41.9989569,21.3865879,false,galerija.ra@gmail.com,Tu-Sa 10:00-15:00; Su 09:00-13:45,,history
Музеј Струмица,Струмица,41.4354106,22.6364291,true,,Tu-Sa 10:00-15:00; Su 09:00-13:46,,history
Вардарски рид,Гевгелија,41.1488082,22.5220207,true,,Tu-Sa 10:00-15:00; Su 09:00-13:47,,history
House of Lambeski,Охрид,41.1123275,20.7970433,true,,Tu-Sa 10:00-15:00; Su 09:00-13:48,,history
Антички театар,Охрид,41.114509,20.7935224,,,,,archaeological_site
Плаушник,Охрид,41.1137069,20.7904973,,,,,archaeological_site
Хераклеа,Битола,41.011223,21.3434125,,,,,archaeological_site
Стара базилица,Ресен,40.867063,20.9886913,,,,,archaeological_site
Стоби,Велес,41.5500415,21.9755211,,,,,archaeological_site
Цареви кули,Струмица,41.4326225,22.6296717,,,,,archaeological_site
Св. Богородица,Битола,41.0433868,21.3142249,,,,,archaeological_site
Вардарски рид,Гевгелија,41.1493831,22.5215329,,,,,archaeological_site
Исар Марвинци,Гевгелија,41.2780309,22.4935572,,,,,archaeological_site
Тумба Маџари,Скопје,42.0017126,21.5048038,,,,,archaeological_site
Градиште,Демир Хисар,41.2404842,21.217376,,,,,archaeological_site
Самоилова тврдина,Охрид,41.1155576,20.7914836,,,,,archaeological_site
Давина кула,Скопје,42.0843452,21.3548716,,,,,archaeological_site
Архео парк Бразда,Скопје,42.0766913,21.398848,,,,,archaeological_site
Кокино,Куманово,42.2633818,21.953118,,,,,archaeological_site
Цоцев Камен,Куманово,42.0836218,21.9862589,,,,,archaeological_site
Мачка камен,Кратово,42.0853984,21.9627449,,,,,archaeological_site
Големо Градиште,Кратово,42.1003011,21.9665342,,,,,archaeological_site
Исар,Штип,41.7376603,22.1863555,,,,,archaeological_site
Баргала,Штип,41.7995125,22.289829,,,,,archaeological_site
Римски и Турски бањи,Банско,41.3825161,22.7542141,,,,,archaeological_site
Св Петка,Пехчево,41.7779241,22.8625358,,,,,archaeological_site
Шурленско Кале,Ресен,41.0043725,20.9282003,,,,,archaeological_site
Калата,Виница,41.9856377,22.5905605,,,,,archaeological_site
